card_id,majority_category,majority_label,majority_count,plurality_denominator,agreement_rate,A_votes,B_votes,C_votes,D_votes,SA_votes,total_placed_votes
M01,D,D. Criteria-based evaluation,10,13,0.7692307692307693,0,2,1,10,0,13
M02,D,D. Criteria-based evaluation,10,12,0.8333333333333334,0,2,0,10,1,12
M03,D,D. Criteria-based evaluation,12,13,0.9230769230769231,1,0,0,12,0,13
M04,D,D. Criteria-based evaluation,9,13,0.6923076923076923,1,3,0,9,0,13
M05,D,D. Criteria-based evaluation,11,13,0.8461538461538461,1,1,0,11,0,13
M06,D,D. Criteria-based evaluation,10,12,0.8333333333333334,1,1,0,10,1,12
M07,D,D. Criteria-based evaluation,11,12,0.9166666666666666,1,0,0,11,1,12
M08,D,D. Criteria-based evaluation,11,12,0.9166666666666666,1,0,0,11,1,12
M09,D,D. Criteria-based evaluation,10,13,0.7692307692307693,2,1,0,10,0,13
M10,D,D. Criteria-based evaluation,10,12,0.8333333333333334,0,2,0,10,1,12
M11,D,D. Criteria-based evaluation,12,13,0.9230769230769231,0,1,0,12,0,13
M12,D,D. Criteria-based evaluation,12,13,0.9230769230769231,0,1,0,12,0,13
M13,A,A. Reference-based evaluation,6,12,0.5,6,1,1,4,1,12
M14,D,D. Criteria-based evaluation,6,13,0.46153846153846156,2,1,4,6,0,13
M15,D,D. Criteria-based evaluation,8,13,0.6153846153846154,1,0,4,8,0,13
M16,D,D. Criteria-based evaluation,12,13,0.9230769230769231,1,0,0,12,0,13
M17,D,D. Criteria-based evaluation,10,13,0.7692307692307693,2,0,1,10,0,13
M18,D,D. Criteria-based evaluation,12,13,0.9230769230769231,0,0,1,12,0,13
M19,A,A. Reference-based evaluation,10,13,0.7692307692307693,10,1,1,1,0,13
M20,D,D. Criteria-based evaluation,10,13,0.7692307692307693,0,3,0,10,0,13
M21,A,A. Reference-based evaluation,13,13,1.0,13,0,0,0,0,13
M22,A,A. Reference-based evaluation,13,13,1.0,13,0,0,0,0,13
M23,A,A. Reference-based evaluation,12,12,1.0,12,0,0,0,1,12
M24,A,A. Reference-based evaluation,13,13,1.0,13,0,0,0,0,13
M25,A,A. Reference-based evaluation,12,12,1.0,12,0,0,0,1,12
M26,A,A. Reference-based evaluation,13,13,1.0,13,0,0,0,0,13
M27,A,A. Reference-based evaluation,9,13,0.6923076923076923,9,4,0,0,0,13
M28,B,B. Corpus/data-based evaluation,12,13,0.9230769230769231,0,12,0,1,0,13
M29,A,A. Reference-based evaluation,8,13,0.6153846153846154,8,5,0,0,0,13
M30,D,D. Criteria-based evaluation,7,11,0.6363636363636364,2,0,2,7,2,11
M31,B,B. Corpus/data-based evaluation,13,13,1.0,0,13,0,0,0,13
M32,C,C. Task/application-based evaluation,11,13,0.8461538461538461,2,0,11,0,0,13
M33,D,D. Criteria-based evaluation,5,11,0.45454545454545453,2,0,4,5,2,11
M34,C,C. Task/application-based evaluation,7,12,0.5833333333333334,2,0,7,3,1,12
M35,D,D. Criteria-based evaluation,10,11,0.9090909090909091,0,1,0,10,2,11
M36,D,D. Criteria-based evaluation,6,11,0.5454545454545454,1,3,1,6,2,11
M37,C,C. Task/application-based evaluation,6,13,0.46153846153846156,2,3,6,2,0,13
M38,D,D. Criteria-based evaluation,11,13,0.8461538461538461,1,1,0,11,0,13
M39,D,D. Criteria-based evaluation,11,13,0.8461538461538461,1,1,0,11,0,13
M40,B,B. Corpus/data-based evaluation,8,12,0.6666666666666666,1,8,3,0,1,12
